#{"t_start": 1746485341.7237988, "env_id": "None"}
r,l,t
2241.398721,436,6704.055576
2032.101136,413,6723.478534
3654.712128,817,6729.10769
3742.729906,850,6734.328078
3105.959186,832,6756.595384
3544.077124,651,6761.455494
4478.436933,1115,6786.274032
8.242436,1,6786.479764
1636.6634,490,6789.570498
398.409996,283,6791.352339
-709.253453,660,6796.274561
2380.022833,822,6816.667919
4002.745021,1147,6824.210802
2041.344315,481,6827.964884
6219.672729,1233,6853.962339
2728.86592,1203,6880.957233
4092.034163,1013,6887.631004
5298.429731,1522,6916.836509
2442.850829,472,6920.655063
3841.084645,1356,6947.607105
1304.891093,610,6951.873169
3232.944668,1775,6982.397031
-26.675569,36,6982.996352
3389.886889,1011,6989.690281
4446.902487,1966,7019.51429
2650.160321,1109,7043.559121
715.715913,178,7045.092412
6216.569107,1110,7070.91598
8.340666,1,7071.117826
2548.187745,431,7073.787062
6439.540658,1000,7081.684073
5577.991167,1381,7107.248037
2870.803757,930,7113.63828
6883.123403,2027,7144.65643
3346.553922,1578,7172.219104
5594.613674,1197,7197.967611
5321.884838,2665,7233.269866
3633.789009,683,7237.547169
4373.208891,927,7260.811816
2608.42126,1660,7289.580156
3776.998093,831,7295.972845
7433.728649,1500,7323.126903
834.073231,173,7324.545526
7317.03158,1660,7352.949451
734.96322,525,7356.420115
3524.617813,480,7359.740027
4547.084353,1752,7387.388992
3565.385244,602,7391.442572
7870.754461,1740,7419.912174
1698.161859,304,7422.48325
6533.680066,1793,7451.193094
5668.489792,831,7473.666349
6855.186389,1688,7484.626546
1634.871328,382,7504.930788
6.156223,1,7505.142105
5482.7751,800,7510.757436
3451.033353,1260,7537.798566
1109.150524,309,7540.032611
2133.36064,747,7544.958785
8160.666035,1557,7571.923264
3174.288975,472,7575.522318
6911.311463,1712,7602.738846
8029.173054,1485,7628.965839
1076.59213,1540,7638.624749
3207.038811,627,7659.276448
1927.684191,778,7664.580419
3438.020486,735,7686.18683
621.324817,183,7687.378995
3724.481332,644,7691.96084
5067.001188,1242,7717.224645
6910.09287,1906,7730.200035
4154.533557,2099,7760.728459
2206.219808,651,7782.363946
6130.781688,1287,7790.454104
5044.65115,735,7812.048156
42.762101,57,7812.57128
5286.87505,819,7818.599139
5609.532147,805,7842.139127
3660.749683,546,7845.641622
8460.327979,1297,7871.591791
65.362495,74,7872.201431
169.676731,84,7872.89989
10518.948621,1533,7883.197117
3683.904501,781,7904.44086
4041.309241,748,7909.217942
5497.113022,744,7914.175561
298.348174,1510,7940.154174
3051.148685,523,7943.953928
4886.365011,1524,7970.578529
8607.335067,1571,7998.167751
6078.288865,1542,8025.218618
5397.717014,1380,8034.458085
2413.540344,507,8054.145567
3574.288254,687,8058.357333
6334.653912,1183,8083.62593
8639.947081,1507,8093.435325
6162.995602,972,8117.295053
5826.36643,831,8123.668578
188.862675,82,8124.35423
4069.566448,697,8147.922518
10567.048781,2455,8181.473044
2453.893146,350,8183.991844
8982.417857,1316,8208.9067
4025.579362,535,8212.588485
4668.072946,838,8218.154371
6156.000223,1014,8241.903027
7054.011283,2070,8272.21634
651.546442,238,8273.960942
6007.180666,945,8280.364455
2883.679318,639,8301.044738
2209.531545,1272,8308.791106
7104.890397,1922,8338.905489
6789.289401,892,8362.519808
6925.266429,1310,8371.428006
3086.554832,888,8394.080631
4303.797742,561,8397.462608
10683.127998,1823,8426.741041
7597.660423,1014,8433.528143
5299.818788,1753,8463.879369
7845.196083,1049,8488.378874
8348.912841,1334,8496.953265
24.747276,56,8497.480696
12171.629989,1529,8524.849058
7.359044,1,8525.073949
4311.771846,552,8529.064475
4211.590833,672,8550.000718
6616.358457,1009,8556.581509
6974.347443,1279,8581.904792
10055.528698,1414,8607.399304
10497.208332,1700,8619.347162
184.460621,765,8641.527493
4452.619961,1065,8648.523934
3768.711659,515,8668.730318
8221.511189,1146,8676.105882
2915.603074,965,8699.682462
7636.99051,1197,8707.32943
9843.359372,1636,8735.185077
9443.946326,1404,8762.927813
8380.43461,1171,8770.479361
839.391336,152,8771.579495
11198.312899,1669,8799.30348
11535.422772,1303,8824.605823
7.072746,1,8824.805653
4418.107311,1182,8832.158752
9396.89618,1414,8858.771873
11883.941507,1576,8886.689833
3689.170606,702,8891.055033
2574.302554,1465,8918.360581
6234.353348,1307,8926.788049
4212.74335,601,8947.39944
13287.869816,1716,8976.827616
2289.73741,391,8979.338819
10012.581284,1317,8988.340729
5.545107,1,8988.550028
10924.533001,1390,9013.812871
11134.152275,1701,9041.222861
6789.855357,914,9047.959056
1781.463756,318,9067.893509
9952.594987,1068,9075.434966
8502.335487,1043,9100.01654
9370.032601,2076,9130.666803
5816.185648,977,9136.82703
50.581384,72,9137.663861
11614.160564,1594,9163.909002
11022.467,1620,9190.294522
5696.714545,1067,9197.611577
4849.493978,808,9219.926504
9957.651225,1698,9231.304854
8070.418367,1058,9254.19922
7.410196,1,9254.401161
9267.197535,1498,9280.929677
6607.13272,973,9287.53986
14919.307643,1950,9317.314757
9803.679727,1281,9343.497081
5031.656544,659,9348.253829
7860.548034,1194,9374.141691
7.787188,1,9374.362679
11832.353439,1340,9382.993439
6091.523636,1110,9407.171141
564.670156,228,9408.845752
9088.2577,1344,9434.701493
11145.808272,2188,9466.346857
562.966958,184,9467.597655
54.321142,59,9468.139481
12200.002213,1432,9477.420061
13623.288292,1533,9504.259361
7.97704,1,9504.461564
5.939361,1,9504.657487
12822.401585,1540,9531.781056
5658.271626,1172,9556.016384
13607.266016,1708,9567.562809
2833.855821,1005,9590.704675
11012.937795,1180,9598.196045
11448.318194,1614,9625.003365
3709.152639,568,9629.365075
12235.37812,1610,9656.107772
9172.148182,1287,9682.45837
6.174747,1,9682.680933
308.716123,124,9683.629355
7347.200746,1038,9690.387916
14066.562809,1958,9720.903406
10112.464485,1599,9747.687643
3335.270965,974,9770.579323
7.690433,1,9770.77314
8740.046951,1139,9778.094068
6629.936067,2131,9808.367506
