step,leg,toe_y,toe_z,hip_angle,knee_angle
438,FL,0.2545,0.3834,-2.4044,-2.2564
439,FL,0.2534,0.3756,-2.4024,-2.2558
440,FL,0.2523,0.3871,-2.4003,-2.2550
441,FL,0.2512,0.3789,-2.3981,-2.2541
442,FL,0.2503,0.3899,-2.3958,-2.2530
443,FL,0.2493,0.3814,-2.3935,-2.2517
444,FL,0.2487,0.3920,-2.3910,-2.2502
445,FL,0.2476,0.3832,-2.3885,-2.2486
446,FL,0.2473,0.3934,-2.3859,-2.2469
447,FL,0.2471,0.3845,-2.3832,-2.2450
448,FL,0.2477,0.3944,-2.3804,-2.2429
449,FL,0.2475,0.3852,-2.3775,-2.2406
450,FL,0.2480,0.3947,-2.3745,-2.2382
451,FL,0.2478,0.3850,-2.3715,-2.2356
452,FL,0.2484,0.3942,-2.3684,-2.2329
453,FL,0.2482,0.3841,-2.3652,-2.2300
454,FL,0.2487,0.3929,-2.3619,-2.2269
455,FL,0.2485,0.3823,-2.3585,-2.2236
456,FL,0.2489,0.3908,-2.3550,-2.2202
457,FL,0.2488,0.3798,-2.3515,-2.2166
458,FL,0.2492,0.3879,-2.3478,-2.2128
459,FL,0.2490,0.3765,-2.3441,-2.2089
460,FL,0.2494,0.3843,-2.3403,-2.2048
461,FL,0.2490,0.3768,-2.3364,-2.2005
462,FL,0.2492,0.3886,-2.3325,-2.1960
463,FL,0.2487,0.3809,-2.3284,-2.1914
464,FL,0.2489,0.3921,-2.3243,-2.1865
465,FL,0.2484,0.3840,-2.3200,-2.1815
466,FL,0.2485,0.3948,-2.3157,-2.1763
467,FL,0.2480,0.3864,-2.3113,-2.1710
468,FL,0.2482,0.3967,-2.3068,-2.1654
469,FL,0.2477,0.3880,-2.3022,-2.1596
470,FL,0.2478,0.3978,-2.2975,-2.1537
471,FL,0.2472,0.3887,-2.2928,-2.1476
472,FL,0.2474,0.3981,-2.2879,-2.1412
473,FL,0.2468,0.3887,-2.2829,-2.1347
474,FL,0.2470,0.3977,-2.2779,-2.1280
475,FL,0.2463,0.3880,-2.2728,-2.1210
476,FL,0.2465,0.3966,-2.2675,-2.1139
477,FL,0.2457,0.3864,-2.2622,-2.1065
478,FL,0.2459,0.3947,-2.2568,-2.0990
479,FL,0.2451,0.3841,-2.2512,-2.0912
480,RR,-0.1273,0.5903,-2.4232,-1.9993
481,RR,-0.1340,0.5858,-2.4271,-2.0087
482,RR,-0.1248,0.5946,-2.4310,-2.0178
483,RR,-0.1313,0.5901,-2.4346,-2.0268
484,RR,-0.1218,0.5988,-2.4382,-2.0354
485,RR,-0.1281,0.5944,-2.4416,-2.0439
486,RR,-0.1183,0.6030,-2.4448,-2.0522
487,RR,-0.1244,0.5986,-2.4480,-2.0602
488,RR,-0.1142,0.6071,-2.4510,-2.0680
489,RR,-0.1202,0.6027,-2.4539,-2.0756
490,RR,-0.1096,0.6110,-2.4566,-2.0830
491,RR,-0.1154,0.6067,-2.4593,-2.0902
492,RR,-0.1045,0.6148,-2.4618,-2.0972
493,RR,-0.1101,0.6105,-2.4642,-2.1040
494,RR,-0.0988,0.6183,-2.4665,-2.1106
495,RR,-0.1042,0.6140,-2.4687,-2.1170
496,RR,-0.0953,0.6198,-2.4707,-2.1232
497,RR,-0.1031,0.6137,-2.4726,-2.1292
498,RR,-0.0964,0.6207,-2.4745,-2.1351
499,RR,-0.1059,0.6239,-2.4762,-2.1407
500,RR,-0.0991,0.6286,-2.4778,-2.1462
501,RR,-0.1083,0.6315,-2.4793,-2.1515
502,RR,-0.1014,0.6363,-2.4807,-2.1566
503,RR,-0.1103,0.6388,-2.4819,-2.1616
504,RR,-0.1033,0.6438,-2.4831,-2.1663
